year,中国: 铁路营业里程(万公里),美国: 铁路营业里程(万公里),中国: 按国土面积衡量的铁路路网密度(公里/万平方公里),美国: 按国土面积衡量的铁路路网密度(公里/万平方公里),中国: 按人口衡量的铁路路网密度(公里/万人),美国: 按人口衡量的铁路路网密度(公里/万人),中国: 铁路机车拥有量(万台),美国: 铁路机车拥有量(万台),"China: Highway Length (by 10,000 kilometers)","US: Public  Road  and  Street  Length in US (by 10,000 kilometers)","PUBLIC  ROAD  AND  STREET  LENGTH, Miles","China: Length of Expressways (by 10,000 kilometers)","US: Length of Interstate and Other Freeways and Expressways (by 10,000 kilometers)","China: Number of Highway Bridges (by 10,000 counts)","US: Number of Highway Bridges (by 10,000 counts)","China: Length of Highway Bridges (by 10,000 kilometers)","US: Length of Bridges (by 10,000 kilometers) "
1980,,,,,,,,,88.83,621.18,"3,859,837 ",0,7.71,,,,
1981,,,,,,,,,89.75,620.00,"3,852,473 ",0,7.90,,,,
1982,,,,,,,,,90.7,622.16,"3,865,894 ",0,7.97,,,,
1983,,,,,,,,,91.51,624.37,"3,879,617 ",0,8.05,,,,
1984,,,,,,,,,92.67,626.27,"3,891,464 ",0,8.11,,,,
1985,,,,,,,,,94.24,621.84,"3,863,912 ",0,8.17,,,,
1986,,,,,,,,,96.28,624.10,"3,877,941 ",0,8.23,,,,
1987,,,,,,,,,98.22,623.46,"3,873,992 ",0,8.32,,,,
1988,,,,,,,,,99.96,622.94,"3,870,744 ",0.01,8.40,,,,
1989,,,,,,,,,101.43,623.92,"3,876,865 ",0.03,8.44,,,,
1990,,,,,,,,,102.83,622.32,"3,866,926 ",0.05,8.49,16.8543,,0.5,
1991,,,,,,,,,104.11,625.06,"3,883,920 ",0.06,8.53,17.3083,,0.5,
1992,,,,,,,,,105.67,627.82,"3,901,081 ",0.07,8.68,17.7239,,0.5,
1993,,,,,,,,,108.35,628.48,"3,905,211 ",0.11,8.75,18.4215,,0.6,
1994,,,,,,,,,111.78,628.71,"3,906,595 ",0.16,8.78,18.9596,,0.6,
1995,,,,,,,,,115.7,629.61,"3,912,226 ",0.21,8.81,19.6416,,0.6,
1996,,,,,,,,,118.58,630.81,"3,919,652 ",0.34,8.86,20.3319,,0.7,
1997,,,,,,,,,122.64,635.03,"3,945,872 ",0.48,8.87,21.0822,,0.7,
1998,5.8,20.1,60.0,215.0,0.50,7.65,1.5176,1.8812,127.85,628.66,"3,906,292 ",0.87,8.89,22.0001,,0.7,
1999,6.7,19.3,70.2,205.9,0.54,7.04,1.448,2.0261,135.17,630.42,"3,917,243 ",1.16,8.92,23.0778,,0.8,
2000,6.9,19.5,71.5,207.9,0.54,7.04,1.4472,2.0256,167.98,633.47,"3,936,222 ",1.63,8.94,,58.7735,,2.4
2001,7.0,19.4,73.0,207.1,0.55,6.97,1.5756,2.039,169.8,635.42,"3,948,335 ",1.94,8.95,28.4117,59.0153,1.1,2.5
2002,7.2,23.1,74.9,167.6,0.56,5.55,1.6026,2.0184,176.52,638.35,"3,966,486 ",2.51,8.98,,59.1243,,2.5
