year,cn_paper_count,cn_paper_citation,us_paper_count,us_paper_citation
1800,0,0,29,68
1801,0,0,2,0
1802,0,0,15,2
1803,0,0,5,6
1804,0,0,4,0
1805,0,0,6,0
1806,0,0,2,0
1807,0,0,5,2
1808,0,0,6,0
1809,0,0,2,0
1810,0,0,4,1
1812,0,0,5,0
1814,0,0,13,26
1815,0,0,12,59
1816,0,0,6,3
1817,0,0,6,0
1818,0,0,3,0
1819,0,0,2,0
1820,0,0,8,13
1821,0,0,11,0
1822,0,0,8,0
1823,0,0,7,8
1824,0,0,7,0
1825,0,0,5,0
1826,0,0,4,0
1827,0,0,5,1
1828,0,0,10,20
1829,0,0,3,1
1830,0,0,20,168
1831,0,0,11,8
1832,0,0,19,243
1833,0,0,22,7
1834,0,0,26,3
1835,0,0,24,2
1836,0,0,24,14
1837,0,0,28,27
1838,0,0,29,29
1839,0,0,22,22
1840,0,0,57,9
1841,0,0,31,10
1842,0,0,16,15
1843,0,0,33,73
1844,0,0,40,71
1845,0,0,24,215
1846,0,0,29,60
1847,0,0,28,39
1848,0,0,23,147
1849,0,0,24,142
1850,0,0,39,39
1851,1,35,52,20
1852,1,1,57,60
1853,0,0,56,92
1854,0,0,46,53
1855,0,0,48,19
1856,0,0,61,48
1857,0,0,59,110
1858,0,0,40,50
1859,0,0,89,66
1860,0,0,75,264
1861,0,0,48,14
1862,0,0,84,190
1863,0,0,79,70
1864,0,0,91,151
1865,0,0,73,78
1866,0,0,76,125
1867,0,0,53,8
1868,0,0,78,106
1869,0,0,86,119
1870,0,0,95,412
1871,0,0,56,78
1872,0,0,102,897
1873,0,0,121,70
1874,1,0,115,47
1875,0,0,123,131
1876,0,0,135,77
1877,0,0,130,192
1878,0,0,151,321
1879,2,103,187,293
1880,0,0,159,336
1881,0,0,167,308
1882,0,0,119,199
1883,0,0,121,183
1884,0,0,143,282
1885,0,0,109,504
1886,0,0,130,292
1887,0,0,153,487
1888,1,0,155,506
1889,0,0,213,445
1890,0,0,207,338
1891,1,3,237,374
1892,0,0,238,6908
1893,0,0,263,983
1894,0,0,372,2208
1895,0,0,347,1651
1896,0,0,367,2066
1897,0,0,516,1567
1898,0,0,464,3470
1899,0,0,577,2932
1900,16,4,584,1945
1901,0,0,597,2543
1902,0,0,760,5434
1903,0,0,931,2600
1904,0,0,946,3695
1905,0,0,1014,3819
1906,0,0,981,4082
1907,0,0,1121,5381
1908,0,0,1240,8039
1909,0,0,1342,7953
1910,1,13,1278,6323
1911,1,0,1358,6751
1912,0,0,1522,8704
1913,0,0,1480,8044
1914,5,24,1602,7426
1915,0,0,1475,8379
1916,1,1,1536,7199
1917,1,79,1651,10979
1918,0,0,1358,7400
1919,1,8,1360,6374
1920,5,27,1788,9432
1921,7,46,2094,14555
1922,5,72,2157,13948
1923,9,212,2476,14099
1924,12,190,2898,19014
1925,9,80,3118,28393
1926,24,199,3302,23275
1927,19,59,3544,26710
1928,11,36,3879,28373
1929,12,29,4184,33223
1930,14,112,4595,36396
1931,15,35,5048,52595
1932,7,9,5639,47426
1933,7,200,5844,48460
1934,9,8,6196,55884
1935,6,48,6513,78828
1936,5,21,6802,80390
1937,12,27,7377,76193
1938,5,10,8110,80755
1939,2,8,8929,98867
1940,1,0,9119,95369
1941,8,41,9274,112397
1942,3,13,8588,92452
1943,3,3,7571,78025
1944,3,5,7313,82725
1945,5,15,7302,90319
1946,0,0,8202,105251
1947,0,0,9660,118290
1948,8,26,11147,179849
1949,1,1,13454,212780
1950,2,0,14950,246158
1951,11,8,15845,527586
1952,1,0,16704,260508
1953,7,1,18297,347098
1954,3,1,19300,352098
1955,6,1,20473,379751
1956,9,0,22018,406316
1957,4,0,23920,440570
1958,3,13,26735,538626
1959,6,27,30020,540330
1960,2,54,32692,622292
1961,2,5,35410,751705
1962,9,5,39603,869043
1963,11,60,42772,896278
1964,16,17,47782,942213
1965,8,2,54852,1207052
1966,16,10,60223,1251679
1967,2,1356,65408,1381936
1968,1,15,71945,1505104
1969,14,49,79378,1686972
1970,24,123,85171,1766925
1971,6,18,88641,1909155
1972,5,6,91479,2047992
1973,8,39,97074,2318242
1974,6,18,101505,2354458
1975,14,61,105621,2539069
1976,12,24,111605,2957584
1977,19,75,117916,3019457
1978,23,80,124532,3028826
1979,47,131,130542,3257204
1980,174,2039,139450,3543183
1981,324,1664,149078,3712098
1982,456,2246,152554,3944580
1983,543,4692,158383,4255700
1984,710,5241,167591,4501833
1985,1139,6056,176230,4885756
1986,1454,7924,186964,5337283
1987,2044,12726,202227,5745197
1988,2921,19022,223430,6657419
1989,3689,22932,238448,6973198
1990,3918,25229,254370,7849847
1991,4590,28571,267733,8110159
1992,5812,33351,272894,8729358
1993,6511,40416,283936,9135604
1994,6278,47463,295746,9636744
1995,7115,60198,313669,11191524
1996,9498,80861,327340,11768185
1997,11108,105561,345925,12720927
1998,13148,129083,358187,13459369
1999,15803,178514,372258,14017896
2000,23955,248400,395657,15287704
2001,32000,322387,416499,15771580
2002,43328,429869,446056,16570839
2003,62167,576633,480184,17055011
2004,112371,797257,520929,17387662
2005,161695,993388,575945,17419570
2006,221219,1285036,625279,17298275
2007,280743,1554576,651069,16807666
2008,312623,1745905,700229,16306244
2009,346625,1988029,703746,15351123
2010,378450,2105425,724160,14191539
