,Arts and Humanities,Engineering,Medicine,Sciences,Social Sciences
1987,18141,101797,26480,38218,68337
1988,19820,115397,29256,40802,77516
1989,21591,129405,30809,43281,83844
1990,21153,125761,32807,43474,84670
1992,22180,133154,32801,43557,91742
1998,45473,181890,33027,56738,87538
1999,51234,195354,35090,59804,99453
2001,69930,219563,41468,82522,154356
2002,85590,252024,47320,94988,175841
2003,136005,351537,55927,133167,252962
2004,180153,442463,81098,168242,324334
2005,238872,517225,96011,198495,415183
2006,295426,575634,107210,231547,516857
2007,359433,633744,122815,271360,608592
2008,421288,704604,139105,297259,694527
2009,473957,763635,152392,311341,754034
2010,503185,813218,162401,317495,794236
2011,554434,884542,168582,330249,858422
2012,605824,964583,178085,347849,942132
2013,645013,1058768,192344,307542,996049
2014,674372,1132226,209748,315100,1082341
2015,704940,1180508,223917,316540,1160035
2016,737842,1226730,234751,321935,1222422
2017,755471,1247808,261636,324409,1252515
2018,750223,1269173,262507,323132,1263323
2019,767459,1295015,266070,325006,1293607
